match_id,competition_id,home_team_id,home_team,away_team_id,away_team
73ce1b4c,d7c59c8c,dad857c8,Kubota Spears,0d890d19,Tokyo Sungoliath
13262303,d7c59c8c,431c8b4c,Green Rockets Tokatsu,a42a1bd6,Hanazono Kintetsu Liners
8ecd7040,467a422f,86e5077b,England Women,86e5077b,Ireland Women
28676f86,467a422f,312ec216,Italy Women,f082815a,Scotland Women
dc994112,2c3df351,1ebc0e7a,Leicester Tigers,8239a311,London Irish
d5fc80b9,50e6935b,bb49fc47,Lions,973ef5cc,Dragons
f571b746,50e6935b,1b2d3d61,Sharks,79c81be4,Cardiff Blues
48d9e2d6,2f0de05a,2e49b214,Racing 92,388e620c,Clermont Auvergne
11f10d66,2f0de05a,1cbf55bf,Lyon,94b39f65,Stade Toulousain
6028dcda,2f0de05a,1cbf55bf,Lyon,94b39f65,Toulouse
adc60a2f,2c3df351,895ae027,Northampton Saints,566d5199,Harlequins
f04223b9,50e6935b,79c81be4,Cardiff Blues,5fa975a5,Ospreys
db65bace,50e6935b,0e10c257,Scarlets,973ef5cc,Dragons
e433d5cc,50e6935b,0aa2b3cc,Ulster,afe6fb82,Munster
e0f91cf9,50e6935b,1ebc0e7a,Leinster,6f5af01b,Connacht
d144d4a4,2f0de05a,388e620c,Clermont Auvergne,94b39f65,Stade Toulousain
08e86925,2f0de05a,388e620c,Clermont,94b39f65,Toulouse
3271a9fd,df0639c9,29c8e3d4,France U20,b6319444,Wales U20
b5bdbe84,83d92007,29c8e3d4,France,8181d2d0,Uruguay
90c8e1ca,2c3df351,08a046f2,Exeter Chiefs,59c67efa,Gloucester Rugby
c2986956,2f0de05a,2e49b214,Racing 92,1cbf55bf,Lyon
cb36dd2d,2f0de05a,0120f1b3,Perpignan,9aa9df8a,La Rochelle
1baa988a,2f0de05a,94b39f65,Stade Toulousain,247cd1a2,Stade Francais Paris
e4ca3065,d7c59c8c,87130580,Mitsubishi Sagamihara Dynaboars,2e7192a3,Toshiba Brave Lupus Tokyo
d6c9e10a,d7c59c8c,d7b21cfb,Kobelco Kobe Steelers,86267089,Yokohama Canon Eagles
accc8904,822142db,4f43e2ca,Provence Rugby,af22c862,Soyaux Angouleme
c6bda0c1,2c3df351,08a046f2,Exeter Chiefs,566d5199,Harlequins
a71a9ce2,2f0de05a,94b39f65,Stade Toulousain,30ad8a8a,Toulon
1f8fa0e3,0fad1a69,588a69a0,Gloucester Hartpury Women Rfc,03bffa94,Saracens Women
1183b860,0fad1a69,566d5199,Harlequins,d7d74d92,Sale
98f66adb,50e6935b,79c81be4,Cardiff Blues,973ef5cc,Gwent Dragons
97cc6936,50e6935b,5fa975a5,Ospreys,0e10c257,Scarlets
5adf0a01,467a422f,9d4b9a14,Scotland,29c8e3d4,France
09601c38,467a422f,f11abcf7,England,b6319444,Wales
5ef2cb42,0fad1a69,ffadbafa,Harlequins Women,03bffa94,Saracens Women
bcdaca21,622e1591,1ca52534,Regatas Bella Vista,43ac9ccf,Los Tilos
cb703cd8,622e1591,cfd58d37,Club Atletico del Rosario,95aa31e1,Belgrano AC
21db5fea,622e1591,a1b6f895,SIC,757f3f81,CUBA
681719b0,622e1591,b9120e6d,B.A.C.R.C.,39f4260d,Newman
bea6c25d,622e1591,d1ec8848,Alumni,c14b1ed3,Pucará
f9df85fb,622e1591,e89f2930,CASI,4bbb4db8,San Luis
f98996f9,23df32a1,ef10fb4f,New Zealand,ace6a25f,Ireland
6e308c77,23df32a1,092ba249,Australia,f11abcf7,England
01d9826b,23df32a1,a78b5b90,Georgia,b1c89fc0,Portugal
7cdebb9c,23df32a1,446f2243,South Africa,b6319444,Wales
feca3587,23df32a1,af1c29a7,United States of America,7f4e0a32,Chile
60466561,23df32a1,24c0c93d,Argentina,9d4b9a14,Scotland
d6aa589a,2f0de05a,94b39f65,Stade Toulousain,f7e939a6,Bordeaux Begles
5b1f1f03,bc5d9ec5,32f13a5d,Melbourne Rebels,9f706321,Brumbies
5a02d8c5,2f0de05a,f7e939a6,Bordeaux,94b39f65,Toulouse
b4f3e8f6,814f16bc,fb93c02e,Manawatu,d990d095,Bay of Plenty
36c2f7c9,679f8455,b5791a75,North Harbour,0d45e935,Northland
19a16e21,bc5d9ec5,0cd7b134,Fiji,2fa201ae,Japan
cf7eabfe,bc5d9ec5,4f60d91f,Canada,626c3851,Tonga
e627a8b9,2c3df351,47d5fe17,Bristol Rugby,8e4b5ee2,Wasps
f0acf5ef,2c3df351,d7d74d92,Sale Sharks,8239a311,London Irish
5b010063,2c3df351,916adee5,Worcester Warriors,566d5199,Harlequins
1941921c,50e6935b,8ab9f1c9,Zebre,1b71011b,Bulls
62de7eb0,50e6935b,1ebc0e7a,Leinster,bb49fc47,Lions
4ec29f0e,bc5d9ec5,f921cb8b,Highlanders,93b14fff,Crusaders
27747745,bc5d9ec5,b6319444,New South Wales Waratahs,b6b6eba1,Queensland Reds
4f670ec3,bc5d9ec5,9f706321,Brumbies,b8b8b698,Fijian Drua
af7641d0,df0639c9,f11abcf7,England U20,b6319444,Wales U20
bcabc80c,df0639c9,29c8e3d4,France U20,9d4b9a14,Scotland U20
72f5ef4a,df0639c9,ace6a25f,Ireland U20,66f91b55,Italy U20
6ee6c0b3,ee0c6883,2e49b214,Racing 92,d7d74d92,Sale Sharks
933d31ea,83d92007,30ad8a8a,Toulon,8239a311,London Irish
bcf29481,50e6935b,5fa975a5,Ospreys,973ef5cc,Dragons
a5c8116b,0ab9177f,e24ef308,Toronto Arrows,0c24fe84,Rugby New York Ironworkers
486a31db,0ab9177f,d7a2cd49,LA Giltinis,e7db6b03,Austin Gilgronis
d5a10aff,0ab9177f,4ae716d2,San Diego Legion,6fd831fc,Houston SaberCats
2a505e18,0ab9177f,f7e65630,Seattle Seawolves,41f6c580,Dallas Jackals
ab1ae862,877aa127,b8b8b698,Fijian Drua,ada90f2c,Hurricanes
5663ff3a,2c3df351,566d5199,Harlequins,895ae027,Northampton Saints
5fd8b316,2f0de05a,b6f40da2,Montpellier Herault,94b39f65,Stade Toulousain
e4fc12d3,2f0de05a,b6f40da2,Montpellier,94b39f65,Toulouse
7b0b496c,679f8455,a116adbb,Counties Manukau,efc79707,Wellington
126373bc,679f8455,d990d095,Bay Of Plenty,d8f064ad,Waikato
f2593aab,2c3df351,1ebc0e7a,Leicester Tigers,93542906,Newcastle Falcons
8d589b51,2f0de05a,247cd1a2,Stade Francais Paris,94b39f65,Stade Toulousain
933367b3,0f8b619e,988e467e,Argentina 7s Mens,8e822abe,South Africa 7s Mens
a63d92a9,0f8b619e,0fdc82bd,Australia 7s Womens,e7a608ec,New Zealand 7s Womens
e6eefe5a,0f8b619e,f41d74a7,Fiji 7s Mens,4b686f8d,New Zealand 7s Mens
3f4810db,0f8b619e,e18ca4eb,Japan 7s Womens,adac2e0d,South Africa 7s Womens
88ecf79a,0f8b619e,92cc0956,Great Britain 7s Womens,e18ca4eb,Spain 7s Womens
09c671cf,0f8b619e,99bc0d52,Canada 7s Mens,3424d6d6,Spain 7s Mens
43fa3e63,0f8b619e,b18d4b1f,Fiji 7s Womens,e52a38e7,Ireland 7s Womens
76de8c8e,0f8b619e,3ffdb3f9,Ireland 7s Mens,5bb29c36,Samoa 7s Mens
a3477e6f,0f8b619e,988e467e,Argentina 7s Mens,4b686f8d,New Zealand 7s Mens
51198be3,0f8b619e,859f6556,Australia 7s Mens,5bb29c36,Usa 7s Mens
626420f2,0f8b619e,b9f09c6b,Brazil 7s Womens,0fdc82bd,Usa 7s Womens
f6dec843,0f8b619e,99bc0d52,Canada 7s Mens,633355a3,Great Britain 7s Mens
d811f1ed,0f8b619e,f41d74a7,Fiji 7s Mens,8e822abe,South Africa 7s Mens
2e4dbe83,0f8b619e,0fdc82bd,Australia 7s Womens,ea5b3860,France 7s Womens
3f4810db,0f8b619e,adac2e0d,South Africa 7s Womens,e18ca4eb,Spain 7s Womens
a8e244cb,0f8b619e,1a2f759f,France 7s Mens,3424d6d6,Spain 7s Mens
42055a83,0f8b619e,f638d5a5,Canada 7s Womens,e7a608ec,New Zealand 7s Womens
88ecf79a,0f8b619e,92cc0956,Great Britain 7s Womens,e18ca4eb,Japan 7s Womens
2ac7a502,0f8b619e,988e467e,Argentina 7s Mens,5bb29c36,Samoa 7s Mens
a64c47b5,0f8b619e,4b686f8d,New Zealand 7s Mens,5bb29c36,Usa 7s Mens
10a41827,0f8b619e,f41d74a7,Fiji 7s Mens,3ffdb3f9,Ireland 7s Mens
95c4e9ba,0f8b619e,859f6556,Australia 7s Mens,8e822abe,South Africa 7s Mens
fdcf8594,0f8b619e,0fdc82bd,Australia 7s Womens,0fdc82bd,Usa 7s Womens
63aa79c4,0f8b619e,b18d4b1f,Fiji 7s Womens,ea5b3860,France 7s Womens
aa992826,0f8b619e,f638d5a5,Canada 7s Womens,e52a38e7,Ireland 7s Womens
ca507b75,0f8b619e,b9f09c6b,Brazil 7s Womens,e7a608ec,New Zealand 7s Womens
c18f48c8,2f0de05a,247cd1a2,Stade Francais,94b39f65,Toulouse
24491dea,0fad1a69,36b53711,Leicester Tigers Women,1f52254f,Loughborough Lightning
a8e244cb,0f8b619e,1a2f759f,France 7s Mens,3424d6d6,Spain 7s Mens
ca507b75,0f8b619e,b9f09c6b,Brazil 7s Womens,e7a608ec,New Zealand 7s Womens
2e4dbe83,0f8b619e,0fdc82bd,Australia 7s Womens,ea5b3860,France 7s Womens
10a41827,0f8b619e,f41d74a7,Fiji 7s Mens,3ffdb3f9,Ireland 7s Mens
fdcf8594,0f8b619e,0fdc82bd,Australia 7s Womens,0fdc82bd,Usa 7s Womens
3f4810db,0f8b619e,adac2e0d,South Africa 7s Womens,e18ca4eb,Spain 7s Womens
42055a83,0f8b619e,f638d5a5,Canada 7s Womens,e7a608ec,New Zealand 7s Womens
3f4810db,0f8b619e,e18ca4eb,Japan 7s Womens,adac2e0d,South Africa 7s Womens
63aa79c4,0f8b619e,b18d4b1f,Fiji 7s Womens,ea5b3860,France 7s Womens
95c4e9ba,0f8b619e,859f6556,Australia 7s Mens,8e822abe,South Africa 7s Mens
ed0047c0,50e6935b,0083b7ce,Fiji U20,66f91b55,Italy U20
fb2f2675,50e6935b,24c0c93d,Argentina U20,33d84f58,Japan U20
6722ec65,50e6935b,092ba249,Australia U20,ef10fb4f,New Zealand U20
6ede4450,50e6935b,bf73e430,Georgia U20,b6319444,Wales U20
bda476d2,50e6935b,ace6a25f,Ireland U20,446f2243,South Africa U20
dda5cad8,50e6935b,f11abcf7,England U20,29c8e3d4,France U20
bd49af9d,bc5d9ec5,ada90f2c,Hurricanes,ef5d2d5d,Moana Pasifika
3feb5d76,23df32a1,961bf049,Hong Kong,4e17799b,Kenya
e77cf6cf,23df32a1,af1c29a7,United States of America,b1c89fc0,Portugal
88254fe0,2c3df351,08a046f2,Exeter Chiefs,aa4f64f5,Bath Rugby
e21429d4,2c3df351,59c67efa,Gloucester Rugby,8e4b5ee2,Wasps
b6f7c007,2c3df351,895ae027,Northampton Saints,47d5fe17,Bristol Rugby
922ab056,2c3df351,916adee5,Worcester Warriors,93542906,Newcastle Falcons
e9f1e679,50e6935b,af0bb046,Benetton Treviso,6f5af01b,Connacht
859d083c,50e6935b,1b71011b,Bulls,0aa2b3cc,Ulster
3ea6f6b7,50e6935b,bb49fc47,Lions,242b5b2e,Edinburgh
bad1f53e,50e6935b,f54be954,Stormers,5fa975a5,Ospreys
b7ad6080,50e6935b,1ebc0e7a,Leinster,afe6fb82,Munster
081d34d3,50e6935b,0e10c257,Scarlets,79c81be4,Cardiff Blues
e0864497,2f0de05a,a9650c97,Castres Olympique,94b39f65,Stade Toulousain
3b3f6707,2f0de05a,388e620c,Clermont Auvergne,d5468acc,Brive
d9ca8c34,2f0de05a,98fce2f7,Biarritz Olympique,73e02b8e,Pau
4afcc3eb,2f0de05a,1cbf55bf,Lyon,30ad8a8a,Toulon
327eea2b,2f0de05a,0120f1b3,Perpignan,b6f40da2,Montpellier Herault
cc476702,2f0de05a,f7e939a6,Bordeaux Begles,9aa9df8a,La Rochelle
953ddb90,bc5d9ec5,79c81be4,Blues,ef5d2d5d,Moana Pasifika
fbb17236,bc5d9ec5,b6b6eba1,Queensland Reds,9f706321,Brumbies
6184cd93,bc5d9ec5,ada90f2c,Hurricanes,08a046f2,Chiefs
66757460,622e1591,d1ec8848,Alumni,39f4260d,Newman
82c238fb,622e1591,b9120e6d,B.A.C.R.C.,757f3f81,CUBA
ac72bcc5,622e1591,a1b6f895,SIC,95aa31e1,Belgrano AC
4465cbaa,622e1591,cfd58d37,Club Atletico del Rosario,43ac9ccf,Los Tilos
42469cee,622e1591,1ca52534,Regatas Bella Vista,bcbeddd2,Hindú
339c2b4d,622e1591,e89f2930,CASI,c14b1ed3,Pucará
aafc29cb,0ab9177f,e24ef308,Toronto Arrows,c8cdc810,RFCLA
08d77cb3,0ab9177f,f11abcf7,New England Free Jacks,b59edee8,Nola Gold
ab1bc480,2f0de05a,a9650c97,Castres,94b39f65,Toulouse
29fc99ed,467a422f,f082815a,Scotland Women,1a2057f7,Wales Women
aa8db824,467a422f,578f4cd0,France Women,86e5077b,Ireland Women
df41699a,2f0de05a,247cd1a2,Stade Francais Paris,2e49b214,Racing 92
433477a5,bc5d9ec5,b8b8b698,Fijian Drua,b6b6eba1,Queensland Reds
3c5f0410,bc5d9ec5,ada90f2c,Hurricanes,93b14fff,Crusaders
e5be2d32,bc5d9ec5,b6319444,New South Wales Waratahs,ef5d2d5d,Moana Pasifika
476f9305,bc5d9ec5,510fa4b4,Western Force,08a046f2,Chiefs
68898ea3,622e1591,bcbeddd2,Hindú,39f4260d,Newman
df1b6daf,622e1591,95aa31e1,Belgrano AC,757f3f81,CUBA
5d1eb822,622e1591,4bbb4db8,San Luis,c14b1ed3,Pucará
d6c0b681,622e1591,d1ec8848,Alumni,e89f2930,CASI
d5d9973e,622e1591,b9120e6d,B.A.C.R.C.,cfd58d37,Club Atletico del Rosario
9033381e,622e1591,a1b6f895,SIC,2700f87a,La Plata Rugby Club
0924317b,23df32a1,49935782,Korea Republic,c324957f,Malaysia
fce53c49,23df32a1,4cc87ac6,Trinidad and Tobago,a2e62d5b,Barbados
2802af73,0fad1a69,1f52254f,Loughborough Lightning,03bffa94,Saracens Women
5f9f252c,0fad1a69,bbff4e4b,Exeter Chiefs Women,588a69a0,Gloucester Hartpury Women Rfc
adbbfb04,c2f89f12,26fdbbb9,Cheetahs,59830ed0,Pumas
38bd6deb,c2f89f12,bb49fc47,Golden Lions,1b2d3d61,Sharks Xv
90644b3d,622e1591,d1ec8848,Alumni,e89f2930,CASI
214dba71,622e1591,757f3f81,CUBA,1ca52534,Regatas Bella Vista
0eac60cd,622e1591,a1b6f895,SIC,4bbb4db8,San Luis
cbfdc60b,622e1591,cfd58d37,Club Atletico del Rosario,95aa31e1,Belgrano AC
596853a6,622e1591,39f4260d,Newman,b9120e6d,B.A.C.R.C.
