match_id,date,season,competition_id,competition,venue_id,venue,city_played,home_team,away_team,home_team_id,away_team_id,completed,is_tournament,played_on_grass,attendance,home_team_form,away_team_form,referee,kickoff_time,home_score,away_score
e362bd46,20220520,2022.0,50e6935b,United Rugby Championship,1a68af7c,Stadio Comunale di Monigo,Treviso,Benetton Treviso,Cardiff Blues,af0bb046,79c81be4,True,True,True,,WWWWL,LWLWL,,16:00,69.0,21.0
02b6499f,20240601,2024.0,0f8b619e,Sevens,90fa9588,Unknown,,Canada 7s Womens,Great Britain 7s Womens,f638d5a5,92cc0956,True,,,,,,,16:00,22.0,17.0
a3da7bac,20230122,2023.0,d7c59c8c,Japan Rugby League One,534260f2,Hanazono Rugby Stadium,,Hanazono Kintetsu Liners,Tokyo Sungoliath,a42a1bd6,0d890d19,True,,,,,,,16:00,10.0,51.0
5616f03b,20240322,2024.0,bc5d9ec5,Super Rugby Pacific,9f38abe4,FMG Stadium Waikato,Hamilton,Chiefs,Highlanders,08a046f2,f921cb8b,True,True,True,,LWLWW,LLLLL,,,,
0f9ae696,20220416,2022.0,83d92007,European Rugby Challenge Cup,477771ab,Kingsholm,Gloucester,Gloucester Rugby,Northampton Saints,59c67efa,895ae027,True,True,True,,LLLLW,WWWWL,,,,
6948337b,20240531,2024.0,0f8b619e,Sevens,90fa9588,Unknown,,Canada 7s Mens,Uruguay 7s Mens,99bc0d52,624585ac,True,,,,,,,16:00,7.0,41.0
98f66adb,20251226,2025.0,50e6935b,United Rugby Championship,fb155133,Cardiff Arms Park,,Cardiff Blues,Gwent Dragons,79c81be4,973ef5cc,True,,,,,,,14:30,22.0,19.0
9cf28498,20230129,2023.0,d7c59c8c,Japan Rugby League One,ae0d6e95,Prince Chichibu Memorial Stadium,,Mitsubishi Sagamihara Dynaboars,Tokyo Sungoliath,87130580,0d890d19,True,,,,,,,16:00,51.0,13.0
8f67ccf6,20231229,2023.0,2f0de05a,French Top 14,d1a27270,Stade Charles-Mathon,Oyonnax,Oyonnax,Pau,53983719,73e02b8e,True,True,True,,LWLLW,WWLLW,,16:00,34.0,13.0
dd80a039,20250111,2025.0,d7c59c8c,Japan Rugby League One,9b1737ae,in Iwata,,Shizuoka Bluerevs,Yokohama Canon Eagles,5a371639,86267089,True,,,,,,,14:30,53.0,35.0
4127ad45,20220903,2022.0,2f0de05a,French Top 14,54577b9e,Stade Marcel-Deflandre,La Rochelle,La Rochelle,Montpellier Herault,9aa9df8a,b6f40da2,True,True,True,,LWLWL,LWWWW,,16:00,26.0,22.0
61360e40,20220129,2022.0,2f0de05a,French Top 14,37fdb207,Stade Aime Giral,Perpignan,Perpignan,Lyon,0120f1b3,1cbf55bf,True,True,True,,LWLWL,LLLLL,,16:00,23.0,28.0
6e389e10,20250830,2025.0,c2f89f12,Currie Cup,7fc4631c,Ellis Park,,Blue Bulls,Golden Lions,1b71011b,bb49fc47,True,,,,,,,14:30,44.0,5.0
cd0dd0cc,20250912,2025.0,822142db,Pro D2,9e3b0243,Stade Jean-Alric,,Aurillac,Beziers,870e9fb0,deee3415,True,,,,,,,14:30,49.0,24.0
67f74e20,20240526,2024.0,0ab9177f,Major League Rugby,7dfd85fd,Dignity Health Sports Park,,RFCLA,San Diego Legion,c8cdc810,4ae716d2,True,False,True,,LLWWW,WLLLW,,,,
75d65558,20241011,2024.0,822142db,Pro D2,d1a27270,Stade Charles-Mathon,,Colomiers,Oyonnax,a9955246,53983719,True,,,,,,,16:00,21.0,17.0
521e1741,20250111,2025.0,83d92007,European Rugby Challenge Cup,37fdb207,Stade Aime Giral,Perpignan,Perpignan,Cardiff Blues,0120f1b3,79c81be4,True,True,True,,LWLWL,LWLWL,,14:30,23.0,20.0
411a6e14,20251114,2025.0,822142db,Pro D2,b5921ae6,Stade Michel Bendichou,,Colomiers,Uso Nevers,a9955246,8b15a375,True,,,,,,,14:30,49.0,6.0
b82e6717,20231210,2023.0,ee0c6883,European Rugby Champions Cup,54577b9e,Stade Marcel-Deflandre,La Rochelle,La Rochelle,Leinster,9aa9df8a,1ebc0e7a,True,True,True,,LWLWL,WWWWW,,16:00,9.0,16.0
